item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
beyoubrazil_twitter_ad1f0e62,2003.53,False,d0d22f292f1cca6e,244,False
bggarden_twitter_326f09eb,980.58,False,8cb3c439979e0f1a,245,False
bidabooking_twitter_aa7567a0,1986.86,False,bbe2c49993c66b18,246,False
billelsey_twitter_5814f951,237.89,False,f3f004efc2a69698,247,False
billiambabble_twitter_8609b003,859.06,False,bbbdc04de436d222,248,False
billlee_twitter_4ee8ac5b,582.69,False,bf9e7829d0f2c901,249,False
billlublin_twitter_a70b31fc,317.33,False,f1876a3d3a033ce2,250,False
billrousseau_twitter_f4b2878c,1106.61,False,e43e26b2b362398d,251,False
bioanarchism_twitter_206372ec,64.12,True,f4cb8d90b5c34b91,252,False
biverson_twitter_9a2b8909,5673.18,False,b996f09a8259876d,253,False
blackxxxxxx_twitter_bfea4806,1839.69,False,995ce845f782366a,254,False
blairmosberg_twitter_e923d80e,323.71,False,f487d1c9ac7c5a28,255,False
bluebrain_twitter_f9c3f5f9,839.61,False,891dd062b76623dd,256,False
blueturtlefl_twitter_cb89dfc4,769.52,False,b1f306d6c30f9383,257,False
bobbibooker_twitter_5f0eae8b,170.48,False,e68ddaadc899c831,258,False
bobbytravis_twitter_e46762b4,342.67,False,a9b67bc0f1009dd9,259,False
boffism_twitter_04350d57,225.75,False,ed91c296d399c919,260,False
bogohack_twitter_3a586a51,0.0,True,0000000000000000,261,True
bolomik_twitter_7979e5a2,6647.22,False,bbb1bcdaf1088067,262,False
bookkeepergirl_twitter_eb8758c5,500.52,False,b86be7849e9c18d8,263,False
boostventilator_twitter_6259827c,137.09,False,d2306f27f49a90d9,264,False
booyabobby_twitter_c663c010,1009.77,False,e7bb44a686656478,265,False
born2addiction_twitter_c70b245c,1307.77,False,fc7cc9e98383c116,266,False
bornmannevan_twitter_2bbf660c,678.64,False,bbcea92d84938699,267,False
bpuga_twitter_cfe3902d,1218.35,False,b4d30dcdc45b6e44,268,False
bradharvey_twitter_e5dafa7b,593.84,False,e0ef01787b96904f,269,False
bradkoehn_twitter_2373c737,172.6,False,ca47bd984b878ec8,270,False
bradrussell_twitter_4337d051,1261.01,False,b771cc0f92ca2732,271,False
bradwolff_twitter_d1a8ce9c,2375.13,False,ccb1c712d6b0953e,272,False
brandie_twitter_9ae27e65,264.67,False,a8ad3534967662ea,273,False
brankko_twitter_ba0ef529,873.58,False,b2de4931c8c7c38d,274,False
brefe_twitter_5ce60967,1681.26,False,9c82c2f3ddc8726c,275,False
