item_id,num_faces,face_confidence,face_area_ratio,face_cluster_id
ashreginaldevasco_twitter_c86140a5,1,0.0,0.995,-1
asiace_twitter_470cebeb,1,0.0,0.995,-1
asiergapa_twitter_618d65cd,1,0.95,0.245,-1
assimtulba_twitter_416b16e1,1,0.91,0.238,-1
astav_twitter_cac509bf,1,0.0,0.995,-1
atahualpa_twitter_692b9bf5,1,0.0,0.995,-1
atsoukalidis_twitter_8033150b,1,0.9,0.292,-1
attila_twitter_b3280f04,1,0.95,0.214,-1
audiohard_twitter_e20ce305,1,0.0,0.993,-1
auliazahra_twitter_f0ad7f2d,1,0.93,0.296,-1
austinhk_twitter_eac554d9,1,0.0,0.995,-1
austrazubkovs_twitter_8c3c0dff,1,0.0,0.995,-1
authenticseacoast_twitter_72552d39,1,0.0,0.995,-1
avaarka_twitter_74d22c1e,1,0.0,0.995,-1
avalon1982_twitter_6ca5decb,1,0.0,0.995,-1
avatartravel_twitter_4056a625,1,0.0,0.995,-1
avdrockr_twitter_a1eef6ad,1,0.96,0.096,-1
avinashconda_twitter_d8ee2933,1,0.9,0.128,-1
awkingkhan_twitter_ecb3d6a2,1,0.95,0.995,-1
axknightroad_twitter_bf7b9815,1,0.0,0.995,-1
axmai_twitter_6d0a036d,1,0.0,0.995,-1
aymanrahouhi_twitter_58865cea,1,0.0,0.995,-1
azzamalasfoor_twitter_82d36a19,1,0.91,0.328,-1
bagusanugrah_twitter_6460cb1b,9,0.939,0.178,-1
balexandre_twitter_ee35d228,1,0.0,0.995,-1
balkurdi_twitter_a6a30be7,1,0.92,0.133,-1
bandadanieis_twitter_9782f73a,1,0.0,0.995,-1
banikaaron_twitter_1494f86e,1,0.94,0.124,-1
bans_twitter_a3a192fc,1,0.0,0.991,-1
barbaraparolini_twitter_e9f73914,1,0.0,0.995,-1
barhatov_twitter_9cff258a,1,0.0,0.995,-1
barneyallen_twitter_b15aa93c,1,0.94,0.148,-1
barrett_twitter_2e240d4f,1,0.96,0.207,-1
basarpatir_twitter_eafe4259,1,0.0,0.995,-1
basemsal7_twitter_c63c4120,1,0.0,0.995,-1
bassplayer83_twitter_08918665,1,0.92,0.459,-1
bboylaba_twitter_2c769dc6,1,0.0,0.995,-1
bdbrooker_twitter_ea880264,1,0.95,0.419,-1
beapaxson_twitter_3831f31b,2,0.945,0.301,-1
bearenok_twitter_62f57b55,1,0.96,0.25,-1
beaumont_twitter_04555692,1,0.0,0.995,-1
beauraines_twitter_f6b213d0,1,0.94,0.128,-1
beautyluxury_twitter_4c712fa7,1,0.0,0.995,-1
beerluver_twitter_3f6f2404,1,0.92,0.083,-1
beichstaedt_twitter_6fd741b9,1,0.87,0.334,-1
benfinch_twitter_f04e8c14,1,0.9,0.058,-1
benitoroig_twitter_74872ce6,1,0.0,0.995,-1
benjacobsen_twitter_2135f63a,1,0.0,0.995,-1
benjamincole_twitter_5a3f07c7,1,0.0,0.995,-1
benjaminyeurch_twitter_7b7d9301,1,0.93,0.441,-1
benjsellers_twitter_fdf197b0,1,0.0,0.995,-1
benkalsky_twitter_788d88b1,1,0.98,0.612,-1
benlinders_twitter_28603ec5,1,0.94,0.466,-1
benlizzotte_twitter_6dadff48,1,0.0,0.995,-1
benlyh_twitter_3a594911,1,0.97,0.372,-1
benoitdeclercq_twitter_ecdd46a2,1,0.88,0.228,-1
bensonhendrix_twitter_6b42562f,1,0.0,0.995,-1
berillium04_twitter_190c88d3,1,0.0,0.995,-1
bertboerland_twitter_286b548b,1,0.94,0.131,-1
bertdickerson_twitter_a9898ae9,1,0.94,0.273,-1
bestnatesmithever_twitter_1d7d5960,1,0.9,0.143,-1
betooliveira_twitter_d55ef943,1,0.0,0.995,-1
betsyweber_twitter_d3dff905,1,0.91,0.268,-1
bexlondontown_twitter_8636b455,1,0.0,0.995,-1
beyoubrazil_twitter_ad1f0e62,1,0.0,0.995,-1
bggarden_twitter_326f09eb,1,0.91,0.336,-1
bidabooking_twitter_aa7567a0,1,0.0,0.995,-1
billelsey_twitter_5814f951,1,0.9,0.077,-1
billiambabble_twitter_8609b003,1,0.0,0.995,-1
billlee_twitter_4ee8ac5b,1,0.93,0.23,-1
billlublin_twitter_a70b31fc,1,0.95,0.032,-1
billrousseau_twitter_f4b2878c,1,0.93,0.018,-1
bioanarchism_twitter_206372ec,1,0.0,0.995,-1
biverson_twitter_9a2b8909,1,0.0,0.995,-1
blackxxxxxx_twitter_bfea4806,1,0.94,0.035,-1
blairmosberg_twitter_e923d80e,1,0.96,0.081,-1
bluebrain_twitter_f9c3f5f9,1,0.0,0.995,-1
blueturtlefl_twitter_cb89dfc4,1,0.95,0.223,-1
bobbibooker_twitter_5f0eae8b,1,0.0,0.995,-1
bobbytravis_twitter_e46762b4,1,0.0,0.995,-1
boffism_twitter_04350d57,1,0.0,0.995,-1
bogohack_twitter_3a586a51,1,0.0,0.995,-1
bolomik_twitter_7979e5a2,1,0.0,0.995,-1
bookkeepergirl_twitter_eb8758c5,1,0.95,0.205,-1
boostventilator_twitter_6259827c,1,0.97,0.342,-1
booyabobby_twitter_c663c010,1,0.92,0.973,-1
born2addiction_twitter_c70b245c,1,0.0,0.995,-1
bornmannevan_twitter_2bbf660c,1,0.0,0.995,-1
bpuga_twitter_cfe3902d,1,0.0,0.995,-1
bradharvey_twitter_e5dafa7b,1,0.0,0.995,-1
bradkoehn_twitter_2373c737,1,0.0,0.995,-1
bradrussell_twitter_4337d051,1,0.0,0.995,-1
bradwolff_twitter_d1a8ce9c,2,0.955,0.117,-1
brandie_twitter_9ae27e65,1,0.94,0.235,-1
brankko_twitter_ba0ef529,1,0.95,0.214,-1
brefe_twitter_5ce60967,1,0.94,0.096,-1
brendanberg_twitter_b0b8fe11,1,0.0,0.995,-1
brendanoconnell_twitter_d3bdf78a,1,0.0,0.995,-1
brettginsberg_twitter_3fd47014,1,0.95,0.005,-1
brianayers_twitter_301efb45,1,0.95,0.345,-1
briancsmith_twitter_fd243f2b,1,0.9,0.13,-1
brianfarnham_twitter_b20a5ae1,1,0.0,0.995,-1
brianfit_twitter_78e690a9,1,0.95,0.819,-1
briankemm_twitter_4cafb878,1,0.0,0.995,-1
briankurzweil_twitter_6dcee1ca,1,0.94,0.009,-1
brianlucas_twitter_0029a561,1,0.0,0.995,-1
brianmonroe_twitter_0d870819,1,0.0,0.992,-1
briannagami_twitter_d995674e,1,0.0,0.995,-1
brianskellie_twitter_b47e71c9,1,0.97,0.131,-1
briantiede_twitter_f4eb1a91,1,0.93,0.336,-1
brianwang_twitter_f80fb669,1,0.98,0.734,-1
brittanyberger_twitter_fafd1913,1,0.93,0.07,-1
brownsdon_twitter_6fe53f96,1,0.92,0.597,-1
brucewise_twitter_2f553b6a,1,0.95,0.487,-1
brunno_twitter_9b6a9245,1,0.91,0.313,-1
brunoconte_twitter_a89c7d01,1,0.91,0.515,-1
brunolaurosantos_twitter_8a716ca6,1,0.94,0.41,-1
bryanmcanally_twitter_d3dddb06,2,0.955,0.076,-1
bryanrapoza_twitter_be255d3b,1,0.0,0.995,-1
bryans_twitter_7709146d,1,0.93,0.05,-1
bryantcabrera_twitter_0f3137aa,1,0.96,0.24,-1
bryanwelsh_twitter_57834f40,1,0.0,0.995,-1
bscheckel_twitter_5f510043,1,0.0,0.995,-1
btihin_twitter_883c4751,1,0.92,0.995,-1
burovayulia_twitter_ef120fad,1,0.0,0.989,-1
caelanhuntress_twitter_65f721c6,1,0.0,0.995,-1
caitlingarzi_twitter_5c8de85e,1,0.0,0.995,-1
caitlynbates_twitter_f479a375,1,0.0,0.995,-1
calculatedstepz_twitter_e1211123,1,0.0,0.995,-1
calebkinchlow_twitter_76d51bbc,1,0.93,0.278,-1
calfn_twitter_615be962,1,0.0,0.989,-1
calistoga_twitter_780e5c7e,1,0.0,0.995,-1
calitoe_twitter_d9d9c8fd,1,0.0,0.995,-1
calvia_twitter_ae151315,1,0.0,0.995,-1
camillek_twitter_141eee87,5,0.932,0.043,-1
camillerodriquez_twitter_49cf2eee,1,0.0,0.995,-1
camillevanneer_twitter_8092d25c,1,0.0,0.995,-1
camiloathem_twitter_7abaf108,1,0.0,0.995,-1
campervan_twitter_0e961c09,1,0.0,0.995,-1
cancunstudios_twitter_854fa98d,1,0.0,0.995,-1
capitu_twitter_12d37449,1,0.0,0.995,-1
caravanacreativa_twitter_51f26755,1,0.0,0.995,-1
carlarozman_twitter_2a5e352b,1,0.0,0.995,-1
carlayashiro_twitter_bb547c88,1,0.92,0.363,-1
carlescabrer_twitter_2eea5647,1,0.88,0.083,-1
carlospl_twitter_ea765a41,1,0.0,0.995,-1
carlycasper_twitter_1a14e789,1,0.0,0.995,-1
carlydamico_twitter_c4192cee,1,0.0,0.995,-1
carmenmg5_twitter_2c305a72,1,0.94,0.101,-1
carolyncummins_twitter_6955b25f,1,0.0,0.995,-1
carovillalva_twitter_2801aeea,2,0.955,0.047,-1
carriebisme_twitter_429cd920,3,0.927,0.051,-1
carsonbelinda_twitter_84227a7e,1,0.98,0.562,-1
carstenlange_twitter_856412cb,1,0.93,0.494,-1
carstenpaetz_twitter_fa72e20c,1,0.95,0.095,-1
castellani_twitter_7685121c,1,0.0,0.995,-1
castlecruz_twitter_4e35cd74,1,0.0,0.995,-1
catarinavarao_twitter_52dd9490,1,0.0,0.995,-1
catchtorolav_twitter_8b9bd823,1,0.97,0.196,-1
catinamurillo_twitter_a5bee91f,1,0.93,0.191,-1
catturner_twitter_6111ca3b,1,0.0,0.995,-1
cavdan_twitter_ff812e57,1,0.98,0.601,-1
cblack_twitter_ab567e36,1,0.92,0.462,-1
cecilialiao_twitter_8114c50f,1,0.94,0.101,-1
cecilyarambula_twitter_6d59bf95,1,0.98,0.07,-1
celebquote_twitter_d7d850f3,1,0.0,0.995,-1
celebrone_twitter_653b77af,1,0.95,0.176,-1
celiooliveira_twitter_2b50466d,1,0.89,0.415,-1
cemtozar_twitter_5a8c30a1,1,0.92,0.221,-1
chadnewman_twitter_2bb9c94c,1,0.0,0.995,-1
chammccutchen_twitter_bdc83149,1,0.0,0.995,-1
charlablue_twitter_af8d2706,1,0.93,0.041,-1
charlielujan_twitter_e3d71bfe,1,0.93,0.268,-1
charliemac_twitter_6eb445af,1,0.93,0.015,-1
charyshed_twitter_04a093f2,1,0.0,0.995,-1
cheeseberger_twitter_34af91d4,1,0.0,0.995,-1
chekostyle_twitter_8a3ddbf1,2,0.95,0.387,-1
chelseastark_twitter_7ed870e1,1,0.0,0.995,-1
chertanchico_twitter_5096f5c5,1,0.95,0.268,-1
chiarapis_twitter_1cb5831f,1,0.0,0.995,-1
chitraagrawal_twitter_24d02a87,1,0.92,0.238,-1
chonilla_twitter_d46bd2f9,1,0.93,0.406,-1
chrisastall_twitter_eaa83c0b,1,0.95,0.238,-1
chrischass_twitter_f47d1a66,1,0.0,0.995,-1
chrisdate_twitter_391a1303,1,0.93,0.037,-1
chrisdscottphoto_twitter_aad91686,1,0.0,0.995,-1
chrisgiddens_twitter_7c83a65e,1,0.97,0.255,-1
chrishartley_twitter_d9e20805,1,0.0,0.995,-1
chrislittler_twitter_99e41bae,1,0.0,0.995,-1
chrismontoya_twitter_90b253a4,1,0.94,0.25,-1
chrisparkin_twitter_985edc2b,1,0.91,0.384,-1
chrispenny_twitter_2fae5cd4,1,0.94,0.047,-1
christiancalvino_twitter_bb6b0e90,1,0.98,0.946,-1
christiankoestlin_twitter_a31e1fdc,1,0.0,0.995,-1
christianperez_twitter_2299dbb0,1,0.94,0.276,-1
christiepingvin_twitter_2ef3aeae,1,0.97,0.348,-1
christinalauren_twitter_dca05357,1,0.93,0.221,-1
christinehauer_twitter_673671a3,1,0.91,0.209,-1
christinema_twitter_e6ee255a,1,0.9,0.078,-1
christophelaurent_twitter_b8e10d8b,1,0.93,0.273,-1
christopherbornstein_twitter_f6263ad1,1,0.0,0.995,-1
christopherdavidkaufman_twitter_0f38535d,1,0.91,0.55,-1
christopherhyde_twitter_97ce18ac,1,0.0,0.995,-1
christopherichert_twitter_3527d14e,1,0.0,0.995,-1
christopherspiewak_twitter_f754e7ef,1,0.94,0.16,-1
chriswright_twitter_48f04754,1,0.91,0.312,-1
chrisyoungdesign_twitter_2e8e1a45,1,0.95,0.032,-1
chromjuwelen_twitter_44aace3c,1,0.0,0.995,-1
cimet_twitter_d6861d2a,1,0.0,0.992,-1
cintiamcr_twitter_05632c7c,1,0.0,0.995,-1
cjeam_twitter_4fcdd4ff,1,0.93,0.077,-1
ckassociati_twitter_cfea6260,1,0.0,0.995,-1
claireisabel_twitter_00ed0ba9,1,1.0,0.08,-1
clairewickenden_twitter_de78478c,1,0.98,0.053,-1
claudiogiulio_twitter_81f48d78,1,0.93,0.589,-1
claudiogonzalo_twitter_f3fc1513,1,0.0,0.995,-1
clayton21_twitter_19bfbdc8,1,0.0,0.995,-1
clintmccollum_twitter_ea226b12,1,0.0,0.995,-1
cnicely_twitter_d947add4,1,0.0,0.995,-1
coachnicole_twitter_45569184,1,0.0,0.995,-1
coastermedia_twitter_fc01adea,1,0.96,0.319,-1
codyo_twitter_af540ffe,1,0.92,0.086,-1
colinmaddox_twitter_bac44134,1,0.0,0.995,-1
colinmilligan_twitter_98b5da65,1,0.0,0.992,-1
colinolford_twitter_dbc11135,1,0.93,0.24,-1
colleenburns_twitter_64c360cc,1,0.94,0.336,-1
condottasuite_twitter_20305e8c,1,0.0,0.995,-1
conorgilmer_twitter_a284faa0,1,0.9,0.432,-1
conradomacalossi_twitter_3f8d1cb0,1,0.97,0.086,-1
constanceruppender_twitter_a330ea1b,1,0.0,0.995,-1
consuelogandia_twitter_e80fad7f,1,0.0,0.995,-1
coreyjo_twitter_15edcb16,1,0.0,0.995,-1
corgimas_twitter_dc6ee838,1,0.0,0.995,-1
corporatephotographer_twitter_e1f7bcef,1,0.93,0.25,-1
countup_twitter_061dff35,1,0.0,0.995,-1
cousindirk_twitter_f854ebf0,1,0.0,0.995,-1
craigansell_twitter_80828ec5,1,0.97,0.23,-1
craigdeakin_twitter_a9f984ec,1,0.87,0.526,-1
cranesitearo_twitter_5e50cfd4,1,0.0,0.995,-1
cris33_twitter_a30384ae,1,0.0,0.995,-1
cristianmarimon_twitter_16bf4380,1,0.0,0.995,-1
cristianovalim_twitter_26819ccb,2,0.95,0.191,-1
cristinac_twitter_1d2519b8,1,0.9,0.422,-1
cristinadirnea_twitter_ab35335a,1,0.92,0.172,-1
croome_twitter_08dfdb29,1,0.94,0.181,-1
crossleykim_twitter_bb6d297f,1,0.0,0.995,-1
crowdini_twitter_285c305f,1,0.0,0.995,-1
cskonsol_twitter_cc840591,1,0.0,0.995,-1
csrollyson_twitter_12c8b63d,1,0.9,0.574,-1
currobarrena_twitter_5b486596,1,0.92,0.302,-1
curtiscavanaugh_twitter_16042cb7,2,0.91,0.065,-1
curtisguise_twitter_bcc48f02,1,0.0,0.995,-1
customfitonline_twitter_1717b755,1,0.94,0.397,-1
cyclofiend_twitter_cc720166,1,0.0,0.995,-1
cyko_twitter_d5f5c749,1,0.0,0.991,-1
cynthiakseymour_twitter_a5bef8d5,1,0.93,0.286,-1
daeglo_twitter_21cd683f,1,0.0,0.995,-1
daeshinkim_twitter_05a93018,2,0.975,0.87,-1
daimanuel_twitter_d369544c,1,0.89,0.048,-1
dalereynolds_twitter_583a22fc,1,0.91,0.038,-1
dallasfoodie_twitter_6cd58621,1,0.92,0.242,-1
damianopovoleri_twitter_63ed9f56,1,0.0,0.995,-1
danacosta_twitter_c80f1786,1,0.0,0.995,-1
danajones_twitter_c8e78cf5,1,0.91,0.119,-1
danbeazley_twitter_8bd3cb42,1,0.97,0.202,-1
danbrown_twitter_5e560c3d,1,0.94,0.446,-1
dancondon_twitter_3fb350f7,1,0.93,0.061,-1
