item_id,top_label,top_label_score,label_scores
danilojrr_twitter_3393482a,,0,{}
dannybooty_twitter_7807c270,,0,{}
dannyj_twitter_fa0ffae7,,0,{}
dannyngan_twitter_47a10694,,0,{}
danpancamo_twitter_33361335,,0,{}
danweese_twitter_b5c73ac6,,0,{}
danzenbinos_twitter_b356a406,,0,{}
daphnecheung_twitter_066f0253,,0,{}
daphnemaia_twitter_7a44e1c8,,0,{}
dargadgetz_twitter_cbf72175,,0,{}
dari0_twitter_ea3c410f,,0,{}
darleenepowells_twitter_174e051d,,0,{}
darraghdoyle_twitter_e307fd7a,,0,{}
darrenlawson_twitter_ac20bd72,,0,{}
darrent_twitter_68c4e428,,0,{}
darrenwoolley_twitter_f6bb37d4,,0,{}
darrylpropp_twitter_0168deaf,,0,{}
darrymorales_twitter_7904179d,,0,{}
dashable_twitter_d63199fa,,0,{}
daveballesteros_twitter_9911bb49,,0,{}
davecornthwaite_twitter_669fd37e,,0,{}
davefernandez_twitter_965d60af,,0,{}
davefrost_twitter_4857b9aa,,0,{}
davegoodman_twitter_f5edb1d1,,0,{}
daveknight_twitter_08e16d31,,0,{}
davekyte_twitter_8e739e78,,0,{}
davidadams_twitter_f5739526,,0,{}
davidbird_twitter_6d8b869c,,0,{}
davidcardona_twitter_e87a87f5,,0,{}
davidcorpuz_twitter_31ba3e62,,0,{}
davideesposto_twitter_155bc801,,0,{}
davidegrassi_twitter_16ea7565,,0,{}
davidessex_twitter_08e9d009,,0,{}
davidfernando_twitter_35df02d1,,0,{}
davidhartlcz_twitter_971ffbaf,,0,{}
davidhousholder_twitter_ec9529cf,,0,{}
davidleebiz_twitter_bb80b4af,,0,{}
davidlewismd_twitter_078ef74d,,0,{}
davidmerinas_twitter_44e6f2c3,,0,{}
davidmichaelwynne_twitter_1e919770,,0,{}
davidparmet_twitter_c1b1ea41,,0,{}
davidramirezordonez_twitter_960792e0,,0,{}
davidredelberger_twitter_85f266d5,,0,{}
davidsmcnamara_twitter_50df5f9a,,0,{}
davidvidorreta_twitter_fdd2fc66,,0,{}
davidweaver_twitter_c4e8662d,,0,{}
davispaul_twitter_06b1e068,,0,{}
dawnnewton_twitter_689f2268,,0,{}
daynah_twitter_4ebf57dd,,0,{}
dayveeka_twitter_f1fd7dd7,,0,{}
dazeofadventure_twitter_a026ece0,,0,{}
dbhaffey_twitter_2b48ac41,,0,{}
dciandy_twitter_5eeffa89,,0,{}
deabaria_twitter_ca5f4029,,0,{}
deanmarsden_twitter_2282393e,,0,{}
deanwormell_twitter_d8a5addc,,0,{}
deaydre_twitter_ad8d4d92,,0,{}
debbiegioquindo_twitter_c441f559,,0,{}
deborahpagliuca_twitter_e09335ef,,0,{}
dedicatedshep_twitter_8ab189e1,,0,{}
