item_id,width,height,aspect_ratio,file_size_kb
bioanarchism_twitter_206372ec,400,400,1.0,23.05
biverson_twitter_9a2b8909,400,400,1.0,36.03
blackxxxxxx_twitter_bfea4806,400,400,1.0,33.98
blairmosberg_twitter_e923d80e,400,400,1.0,27.09
bluebrain_twitter_f9c3f5f9,400,400,1.0,22.81
blueturtlefl_twitter_cb89dfc4,400,400,1.0,33.92
bobbibooker_twitter_5f0eae8b,400,400,1.0,11.52
bobbytravis_twitter_e46762b4,400,400,1.0,25.2
boffism_twitter_04350d57,400,400,1.0,25.34
bogohack_twitter_3a586a51,400,400,1.0,3.05
bolomik_twitter_7979e5a2,400,400,1.0,55.64
bookkeepergirl_twitter_eb8758c5,400,400,1.0,20.61
boostventilator_twitter_6259827c,400,400,1.0,22.82
booyabobby_twitter_c663c010,400,400,1.0,24.36
born2addiction_twitter_c70b245c,400,400,1.0,20.5
bornmannevan_twitter_2bbf660c,400,400,1.0,31.79
bpuga_twitter_cfe3902d,400,400,1.0,37.13
bradharvey_twitter_e5dafa7b,400,400,1.0,27.86
bradkoehn_twitter_2373c737,400,400,1.0,25.05
bradrussell_twitter_4337d051,400,400,1.0,13.41
bradwolff_twitter_d1a8ce9c,400,400,1.0,34.81
brandie_twitter_9ae27e65,400,400,1.0,26.68
brankko_twitter_ba0ef529,400,400,1.0,28.56
brefe_twitter_5ce60967,400,400,1.0,41.44
brendanberg_twitter_b0b8fe11,400,400,1.0,26.82
brendanoconnell_twitter_d3bdf78a,400,400,1.0,24.49
brettginsberg_twitter_3fd47014,400,400,1.0,38.07
brianayers_twitter_301efb45,400,400,1.0,27.7
briancsmith_twitter_fd243f2b,400,400,1.0,24.5
brianfarnham_twitter_b20a5ae1,400,400,1.0,25.36
brianfit_twitter_78e690a9,400,400,1.0,21.91
briankemm_twitter_4cafb878,400,400,1.0,19.36
briankurzweil_twitter_6dcee1ca,400,400,1.0,37.9
brianlucas_twitter_0029a561,400,400,1.0,16.43
brianmonroe_twitter_0d870819,244,244,1.0,12.3
briannagami_twitter_d995674e,400,400,1.0,28.0
brianskellie_twitter_b47e71c9,400,400,1.0,19.52
briantiede_twitter_f4eb1a91,400,400,1.0,34.8
brianwang_twitter_f80fb669,400,400,1.0,28.68
brittanyberger_twitter_fafd1913,400,400,1.0,30.31
brownsdon_twitter_6fe53f96,400,400,1.0,28.21
brucewise_twitter_2f553b6a,400,400,1.0,21.81
brunno_twitter_9b6a9245,347,347,1.0,16.91
brunoconte_twitter_a89c7d01,400,400,1.0,23.97
brunolaurosantos_twitter_8a716ca6,150,150,1.0,4.71
