model,calibrator,threshold,tp,fp,fn,tn,precision,recall,f1
gb,sigmoid,0.03,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.04,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.05,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.060000000000000005,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.06999999999999999,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.08,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.09,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.09999999999999999,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.11,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.12,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.13,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.14,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.15000000000000002,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.16,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.17,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.18000000000000002,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.19,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.2,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.21000000000000002,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.22,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.23,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.24000000000000002,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.25,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.26,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.27,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.28,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.29000000000000004,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.3,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.31,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.32,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.33,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.34,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.35000000000000003,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.36000000000000004,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.37,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.38,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.39,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.4,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.41000000000000003,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.42000000000000004,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
