profile_id_a,profile_id_b,sim_score
instagram_jcbivins,twitter_jcbivins,1.0
instagram_vtatultiwari,twitter_vtatultiwari,1.0
instagram_butis73,twitter_butis73,1.0
instagram_jcorver,twitter_jcorver,1.0
instagram_herrkrueger,twitter_herrkrueger,1.0
instagram_abdullahtaha,twitter_abdullahtaha,1.0
instagram_mojofat,twitter_mojofat,1.0
instagram_herwigdaemon,twitter_herwigdaemon,1.0
instagram_roseminan,twitter_roseminan,1.0
instagram_roslauski,twitter_roslauski,1.0
googleplus_calebwoodard,twitter_calebwoodard,1.0
googleplus_calinsapunaru,twitter_calinsapunaru,1.0
instagram_calebkinchlow,twitter_calebkinchlow,1.0
instagram_wwjimd,twitter_wwjimd,1.0
instagram_soulsailor,twitter_soulsailor,1.0
instagram_jdna,twitter_jdna,1.0
instagram_odhinnsrunes,twitter_odhinnsrunes,1.0
instagram_wluera,twitter_wluera,1.0
instagram_nywebdesign,twitter_nywebdesign,1.0
instagram_hillmiester,twitter_hillmiester,1.0
twitter_hildalemus,instagram_hildalemus,1.0
googleplus_adamlasseter,twitter_adamlasseter,1.0
instagram_heshiyou,twitter_heshiyou,1.0
instagram_eidolonnight,twitter_eidolonnight,1.0
instagram_ehrok,twitter_ehrok,1.0
twitter_martinsoler,instagram_martinsoler,1.0
instagram_barnapkins,twitter_barnapkins,1.0
instagram_cveira,twitter_cveira,1.0
instagram_brondmo,twitter_brondmo,1.0
instagram_brodychilds,twitter_brodychilds,1.0
instagram_mamaru14,twitter_mamaru14,1.0
instagram_barbsobel,twitter_barbsobel,1.0
instagram_gosiabem,twitter_gosiabem,1.0
instagram_bariskaykusuz,twitter_bariskaykusuz,1.0
instagram_gostaff,twitter_gostaff,1.0
instagram_greigallen,twitter_greigallen,1.0
instagram_barneyallen,twitter_barneyallen,1.0
instagram_barzik,twitter_barzik,1.0
instagram_myfrienddan,twitter_myfrienddan,1.0
instagram_simonkoleznik,twitter_simonkoleznik,1.0
instagram_sharonpaxson,twitter_sharonpaxson,1.0
instagram_i_abel,twitter_i_abel,1.0
instagram_dbdriscoll,twitter_dbdriscoll,1.0
googleplus_robgoates,instagram_robgoates,1.0
googleplus_robgoates,twitter_robgoates,1.0
twitter_robgoates,instagram_robgoates,1.0
