Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
From here y de allá,from here y de allá,from here y de allá,text_location,1,,
,,,unknown,0,,
"Prague, Czech Republic","prague, czech republic","prague, czech republic",text_location,1,,
"Plano, TX","plano, tx","plano, tx",text_location,1,,
"Bogotá, D.C., Colombia","bogotá, d.c., colombia","bogotá, d.c., colombia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
The road to dawn,the road to dawn,the road to dawn,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Corrientes ARG,corrientes arg,corrientes arg,text_location,1,,
"New York, Singapore, Arnhem","new york, singapore, arnhem","new york, singapore, arnhem",text_location,1,,
st.louis,st.louis,st.louis,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Barrington, Illinois","barrington, illinois","barrington, illinois",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Chicago, IL","chicago, il","chicago, il",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Boston, MA","boston, ma","boston, ma",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Batcave - Gotham,batcave - gotham,batcave - gotham,text_location,1,,
Indonesia,indonesia,indonesia,text_location,1,,
,,,unknown,0,,
"Cambridge, UK","cambridge, uk","cambridge, uk",text_location,1,,
United States,united states,united states,text_location,1,,
,,,unknown,0,,
cagayan de oro city,cagayan de oro city,cagayan de oro city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
"Newport News, VA","newport news, va","newport news, va",text_location,1,,
Paris & international,paris & international,paris  international,text_location,1,,
Barcelona,barcelona,barcelona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Indonesia,indonesia,indonesia,text_location,1,,
"Farmgate, Dhaka, Bangladesh","farmgate, dhaka, bangladesh","farmgate, dhaka, bangladesh",text_location,1,,
Napoli,napoli,napoli,text_location,1,,
"Chicago, IL","chicago, il","chicago, il",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Wilwatikta, Bhumi Nuswantara","wilwatikta, bhumi nuswantara","wilwatikta, bhumi nuswantara",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
México City & New York,méxico city & new york,méxico city  new york,text_location,1,,
,,,unknown,0,,
Paris,paris,paris,text_location,1,,
,,,unknown,0,,
"19.499039,-99.132861","19.499039,-99.132861","19.499039,-99.132861",coordinates,1,19.499039,-99.132861
,,,unknown,0,,
"Houston, Texas","houston, texas","houston, texas",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
São Paulo,são paulo,são paulo,text_location,1,,
France and UK,france and uk,france and uk,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"город Москва, Москва, Россия","город москва, москва, россия","город москва, москва, россия",text_location,1,,
Bogotá,bogotá,bogotá,text_location,1,,
"Rome, Italy","rome, italy","rome, italy",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
mouse street,mouse street,mouse street,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Porto Alegre, Brasil","porto alegre, brasil","porto alegre, brasil",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Detroit, MI","detroit, mi","detroit, mi",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New Orleans, LA","new orleans, la","new orleans, la",text_location,1,,
Italy,italy,italy,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
United Kingdom,united kingdom,united kingdom,text_location,1,,
"Fredericton, New Brunswick","fredericton, new brunswick","fredericton, new brunswick",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Bogotá, Colombia","bogotá, colombia","bogotá, colombia",text_location,1,,
"Philadelphia, PA","philadelphia, pa","philadelphia, pa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Calgary, AB, Canada","calgary, ab, canada","calgary, ab, canada",text_location,1,,
"Troy, MI","troy, mi","troy, mi",text_location,1,,
Brooklyn,brooklyn,brooklyn,text_location,1,,
Rio de Janeiro,rio de janeiro,rio de janeiro,text_location,1,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
"Dubai, UAE","dubai, uae","dubai, uae",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Leeds,Yorkshire","leeds,yorkshire","leeds,yorkshire",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Veracruz,veracruz,veracruz,text_location,1,,
,,,unknown,0,,
Madrid,madrid,madrid,text_location,1,,
São Paulo - Brasil,são paulo - brasil,são paulo - brasil,text_location,1,,
São Paulo,são paulo,são paulo,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
CDMX-NYC,cdmx-nyc,cdmx-nyc,text_location,1,,
London,london,london,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Worldwide,worldwide,worldwide,text_location,1,,
,,,unknown,0,,
Brooklyn,brooklyn,brooklyn,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"London, UK","london, uk","london, uk",text_location,1,,
"Carrollton, TX","carrollton, tx","carrollton, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Snellville, GA","snellville, ga","snellville, ga",text_location,1,,
Guatemala,guatemala,guatemala,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
