source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
ackleysuicide,twitter,12,molivieri,twitter,0.820249,0.676166,0.964331,0.804779,0.267091,False
ackleysuicide,twitter,13,jasonchan,twitter,0.81997,0.674682,0.965259,0.80662,0.263596,False
ackleysuicide,twitter,14,kristinrichey,twitter,0.819953,0.694446,0.94546,0.781734,0.330272,False
ackleysuicide,twitter,15,romcalbc,twitter,0.81968,0.676143,0.963217,0.804807,0.271232,False
ackleysuicide,twitter,16,romybeatwriter,twitter,0.819626,0.678388,0.960863,0.802012,0.279777,False
ackleysuicide,twitter,17,nyskye,twitter,0.818652,0.673713,0.963591,0.80782,0.269848,False
ackleysuicide,twitter,18,santayanapower,twitter,0.818419,0.67908,0.957758,0.801149,0.29066,False
ackleysuicide,twitter,19,ligiaadam,twitter,0.81777,0.67862,0.956919,0.801723,0.293534,False
ackleysuicide,twitter,20,zacharycrockett,twitter,0.816087,0.67349,0.958685,0.808097,0.287456,False
actifirmskincare,twitter,1,beautyluxury,twitter,0.77705,0.621656,0.932443,0.869879,0.367578,False
actifirmskincare,twitter,2,anesanmiguel,twitter,0.770107,0.586288,0.953926,0.909628,0.303559,False
actifirmskincare,twitter,3,platinumvoicepr,twitter,0.767912,0.578282,0.957543,0.918388,0.2914,False
actifirmskincare,twitter,4,dotsilicon,twitter,0.764969,0.600015,0.929923,0.894411,0.374371,False
actifirmskincare,twitter,5,erikmacpherson,twitter,0.764399,0.583473,0.945326,0.912718,0.330679,False
actifirmskincare,twitter,6,lmdesign,twitter,0.758304,0.552393,0.964215,0.946158,0.267527,False
actifirmskincare,twitter,7,anoli,twitter,0.756881,0.561613,0.952149,0.936362,0.309357,False
actifirmskincare,twitter,8,hollyccarter,twitter,0.754743,0.553629,0.955857,0.944851,0.29713,False
actifirmskincare,twitter,9,klappacher,twitter,0.754395,0.546681,0.962109,0.952175,0.275285,False
actifirmskincare,twitter,10,lagonzi,twitter,0.753963,0.55814,0.949786,0.940064,0.316903,False
actifirmskincare,twitter,11,indumental,twitter,0.7534,0.535292,0.971507,0.964062,0.238716,False
actifirmskincare,twitter,12,thinkpositive,twitter,0.752958,0.544832,0.961084,0.954115,0.278983,False
actifirmskincare,twitter,13,hiredmyway,twitter,0.75208,0.532683,0.971478,0.966765,0.238839,False
actifirmskincare,twitter,14,ryanketterman,twitter,0.748575,0.533351,0.9638,0.966074,0.269073,False
actifirmskincare,twitter,15,jasonbergin,twitter,0.746932,0.535284,0.95858,0.964071,0.287818,False
actifirmskincare,twitter,16,robertjonathan,twitter,0.746497,0.536526,0.956469,0.962782,0.295062,False
actifirmskincare,twitter,17,garwinlu,twitter,0.746134,0.531739,0.960529,0.967741,0.280968,False
actifirmskincare,twitter,18,jasminrovira,twitter,0.745787,0.536489,0.955085,0.96282,0.299718,False
actifirmskincare,twitter,19,michaeldutcher,twitter,0.743761,0.529097,0.958424,0.970467,0.28836,False
actifirmskincare,twitter,20,axknightroad,twitter,0.743483,0.539838,0.947127,0.959335,0.325186,False
adambonham,twitter,1,sebastianlofvall,twitter,0.904852,0.840113,0.969592,0.565486,0.24661,False
adambonham,twitter,2,lavalion,twitter,0.901932,0.836625,0.967239,0.57162,0.255972,False
adambonham,twitter,3,seancoyne,twitter,0.898366,0.831484,0.965248,0.580544,0.263635,False
adambonham,twitter,4,coastermedia,twitter,0.897722,0.845749,0.949695,0.55543,0.31719,False
adambonham,twitter,5,pena,twitter,0.897253,0.841569,0.952936,0.562905,0.306801,False
adambonham,twitter,6,gastonsz,twitter,0.893484,0.816416,0.970551,0.605944,0.242688,False
adambonham,twitter,7,jrufer,twitter,0.892181,0.818469,0.965894,0.602547,0.261173,False
adambonham,twitter,8,davidparmet,twitter,0.891919,0.834156,0.949681,0.575923,0.317235,False
adambonham,twitter,9,mikeconaty,twitter,0.890073,0.820715,0.959431,0.598807,0.284849,False
adambonham,twitter,10,jiteshpanchal,twitter,0.889982,0.813361,0.966603,0.610965,0.258444,False
adambonham,twitter,11,fmmor,twitter,0.887568,0.813074,0.962061,0.611434,0.275459,False
adambonham,twitter,12,zia505,twitter,0.886327,0.817465,0.95519,0.60421,0.299366,False
adambonham,twitter,13,stuarthiggs,twitter,0.886145,0.807845,0.964445,0.619928,0.266663,False
adambonham,twitter,14,ksquad,twitter,0.884347,0.79967,0.969023,0.632977,0.248905,False
adambonham,twitter,15,galobart,twitter,0.884326,0.793284,0.975367,0.642987,0.221957,False
adambonham,twitter,16,nicogarassino,twitter,0.883635,0.805293,0.961977,0.624031,0.275764,False
adambonham,twitter,17,juanramar,twitter,0.882858,0.80605,0.959665,0.622817,0.284024,False
adambonham,twitter,18,joelsteinmann,twitter,0.882633,0.800999,0.964267,0.630874,0.267331,False
adambonham,twitter,19,benitoroig,twitter,0.881024,0.790713,0.971336,0.646973,0.239435,False
adambonham,twitter,20,ullyses,twitter,0.880756,0.802757,0.958753,0.628081,0.287216,False
adamcarlson,twitter,1,basemsal7,twitter,0.836903,0.690986,0.98282,0.786147,0.185363,False
adamcarlson,twitter,2,odile,twitter,0.835786,0.690371,0.981201,0.786929,0.193904,False
adamcarlson,twitter,3,donmik,twitter,0.834341,0.688669,0.980012,0.789089,0.199938,False
adamcarlson,twitter,4,zouyuefen,twitter,0.8299,0.679681,0.980119,0.800399,0.199406,False
